method,path,authentication_boundary,mapped_feature_id,mapped_action,action_rule_present,interface_disposition,authorization_evidence,source_aliases,source
POST,/bookings/public/orders/{bookingId}/datafast/checkout,public-root,bookings.public-order-tracking,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > BookingPublicAPI,tdf-hq/src/TDF/API.hs:335
GET,/bookings/public/orders/{bookingId}/datafast/status,public-root,bookings.public-order-tracking,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > BookingPublicAPI,tdf-hq/src/TDF/API.hs:335
POST,/bookings/public/orders/{bookingId}/manual-payment,public-root,bookings.public-order-tracking,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > BookingPublicAPI,tdf-hq/src/TDF/API.hs:335
POST,/bookings/public/orders/{bookingId}/manual-payment/evidence,public-root,bookings.public-order-tracking,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > BookingPublicAPI,tdf-hq/src/TDF/API.hs:335
POST,/bookings/public/orders/{bookingId}/paypal/capture,public-root,bookings.public-order-tracking,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > BookingPublicAPI,tdf-hq/src/TDF/API.hs:335
POST,/bookings/public/orders/{bookingId}/paypal/create,public-root,bookings.public-order-tracking,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > BookingPublicAPI,tdf-hq/src/TDF/API.hs:335
POST,/calendar/v1/auth-url,authenticated-root,admin.calendar-integration,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CalendarAPI,tdf-hq/src/TDF/API/Calendar.hs:193
GET,/calendar/v1/config,authenticated-root,admin.calendar-integration,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CalendarAPI,tdf-hq/src/TDF/API/Calendar.hs:193
GET,/calendar/v1/events,authenticated-root,admin.calendar-integration,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CalendarAPI,tdf-hq/src/TDF/API/Calendar.hs:193
POST,/calendar/v1/sync,authenticated-root,admin.calendar-integration,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CalendarAPI,tdf-hq/src/TDF/API/Calendar.hs:193
POST,/calendar/v1/tokens,authenticated-root,admin.calendar-integration,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CalendarAPI,tdf-hq/src/TDF/API/Calendar.hs:193
GET,/catalog/{catalogCode}/export.csv,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/{catalogCode}/import.csv,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/{catalogCode}/items,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/{catalogCode}/items/{itemId},authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
PATCH,/catalog/{catalogCode}/items/{itemId}/activation,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/{catalogCode}/merge,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/{catalogCode}/reorder,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/{catalogCode}/revisions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/{catalogCode}/revisions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/{catalogCode}/usage,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/authored-contents,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/batch,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/content-types,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/definitions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/revisions/{revisionId}/approve,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/revisions/{revisionId}/reject,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
POST,/catalog/revisions/{revisionId}/submit,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalog/security/audit,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
GET,/catalog/security/party-role-assignments,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
POST,/catalog/security/party-role-revisions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
GET,/catalog/security/revisions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
POST,/catalog/security/revisions/{revisionId}/approve,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
POST,/catalog/security/revisions/{revisionId}/reject,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
POST,/catalog/security/revisions/{revisionId}/submit,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
POST,/catalog/security/role-permission-revisions,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
GET,/catalog/security/roles,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI > SecurityAdminAPI,tdf-hq/src/TDF/API/Catalog.hs:172
GET,/catalog/workflow-states,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > CatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:102
GET,/catalogs/{catalogCode}/items,public-root,admin.catalogs,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > PublicCatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:69
GET,/catalogs/{catalogCode}/items/{itemId},public-root,admin.catalogs,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > PublicCatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:69
GET,/catalogs/batch,public-root,admin.catalogs,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > PublicCatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:69
GET,/catalogs/definitions,public-root,admin.catalogs,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > PublicCatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:69
GET,/catalogs/workflows/{workflowCode}/states,public-root,admin.catalogs,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > PublicCatalogAPI,tdf-hq/src/TDF/API/Catalog.hs:69
GET,/chat/threads,authenticated-root,chat,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ChatAPI,tdf-hq/src/TDF/API.hs:151
GET,/chat/threads/{threadId}/messages,authenticated-root,chat,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ChatAPI,tdf-hq/src/TDF/API.hs:151
POST,/chat/threads/{threadId}/messages,authenticated-root,chat,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ChatAPI,tdf-hq/src/TDF/API.hs:151
POST,/chat/threads/dm/{otherPartyId},authenticated-root,chat,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ChatAPI,tdf-hq/src/TDF/API.hs:151
POST,/chatkit/sessions,authenticated-root,tools.chatkit,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ChatKitSessionAPI,tdf-hq/src/TDF/API.hs:163
GET,/cms/content,public-root,admin.cms,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > CmsPublicAPI,tdf-hq/src/TDF/API.hs:119
GET,/cms/contents,public-root,admin.cms,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > CmsPublicAPI,tdf-hq/src/TDF/API.hs:119
GET,/cohorts/next,public-root,technical.course-public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > AcademyAPI,tdf-hq/src/TDF/Routes/Academy.hs:116
POST,/contracts,authenticated-root,label.contracts.create,create,true,security-sensitive concealed capability; interface decision documented,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ContractsAPI,tdf-hq/src/TDF/Contracts/API.hs:9
GET,/contracts/{id}/pdf,authenticated-root,label.contracts.detail,view,true,security-sensitive concealed capability; interface decision documented,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ContractsAPI,tdf-hq/src/TDF/Contracts/API.hs:9
POST,/contracts/{id}/send,authenticated-root,label.contracts.create,create,true,security-sensitive concealed capability; interface decision documented,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > ContractsAPI,tdf-hq/src/TDF/Contracts/API.hs:9
GET,/ddex/documents,authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
POST,/ddex/documents,authenticated-root,label.ddex.inbox,import,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
GET,/ddex/documents/{id},authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
POST,/ddex/documents/{id}/import-plans,authenticated-root,label.ddex.inbox,import,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
GET,/ddex/documents/{id}/preview,authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
GET,/ddex/documents/{id}/raw,authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
POST,/ddex/documents/{id}/validation-runs,authenticated-root,label.ddex.inbox,import,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
GET,/ddex/documents/{id}/validation-runs/latest,authenticated-root,label.ddex.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
POST,/ddex/exports,authenticated-root,label.ddex.inbox,export,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
GET,/ddex/exports/{id}/download,authenticated-root,label.ddex.inbox,export,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
PATCH,/ddex/import-plans/{id},authenticated-root,label.ddex.inbox,import,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
POST,/ddex/import-plans/{id}/commit,authenticated-root,label.ddex.inbox,import,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
GET,/ddex/partners,authenticated-root,label.ddex.partners,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
POST,/ddex/partners,authenticated-root,label.ddex.partners,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
GET,/ddex/references,authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DDEXAPI,tdf-hq/src/TDF/API/DDEX.hs:42
GET,/directory/admin/claims,authenticated-root,directory.admin,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
PATCH,/directory/admin/claims/{claimId}/status,authenticated-root,directory.admin,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/directory/admin/moderation,authenticated-root,directory.admin,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/directory/admin/verifications,authenticated-root,directory.admin,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
PATCH,/directory/admin/verifications/{verificationId}/status,authenticated-root,directory.admin,administer,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
PUT,/directory/age-assurance,authenticated-root,directory.classifieds.manage,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
PATCH,/directory/applications/{applicationId}/status,authenticated-root,directory.classifieds.manage,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/directory/classifieds,authenticated-root,directory.classified.public,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/directory/classifieds/{classifiedId}/applications,authenticated-root,directory.classified.public,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
PATCH,/directory/classifieds/{classifiedId}/status,authenticated-root,directory.classifieds.manage,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/directory/classifieds/{slug},public-root,directory.classified.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > DirectoryPublicAPI,tdf-hq/src/TDF/API/Directory.hs:262
GET,/directory/events/{eventId},public-root,directory.event.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > DirectoryPublicAPI,tdf-hq/src/TDF/API/Directory.hs:262
GET,/directory/favorites,authenticated-root,home,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
DELETE,/directory/favorites/{targetKind}/{targetId},authenticated-root,,,false,API-only pending explicit product/security disposition,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
PUT,/directory/favorites/{targetKind}/{targetId},authenticated-root,directory.classifieds.manage,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/directory/invitations,authenticated-root,home,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
PATCH,/directory/invitations/{invitationId}/status,authenticated-root,directory.classifieds.manage,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/directory/party-profiles/{partyId},public-root,home,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > DirectoryPublicAPI,tdf-hq/src/TDF/API/Directory.hs:262
GET,/directory/profiles,authenticated-root,directory.profile.public,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
PUT,/directory/profiles/{profileId},authenticated-root,directory.classifieds.manage,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
PATCH,/directory/profiles/{profileId}/status,authenticated-root,directory.classifieds.manage,edit,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/directory/profiles/{slug},public-root,directory.profile.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > DirectoryPublicAPI,tdf-hq/src/TDF/API/Directory.hs:262
GET,/directory/profiles/{slug}/reviews,public-root,directory.profile.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > DirectoryPublicAPI,tdf-hq/src/TDF/API/Directory.hs:262
GET,/directory/review-eligibility,authenticated-root,home,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/directory/saved-searches,authenticated-root,home,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DirectoryProtectedAPI,tdf-hq/src/TDF/API/Directory.hs:293
GET,/directory/search,public-root,home,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > DirectoryPublicAPI,tdf-hq/src/TDF/API/Directory.hs:262
GET,/directory/suggestions,public-root,home,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > DirectoryPublicAPI,tdf-hq/src/TDF/API/Directory.hs:262
GET,/directory/taxonomies,public-root,home,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > DirectoryPublicAPI,tdf-hq/src/TDF/API/Directory.hs:262
GET,/directory/venues/{venueId},public-root,directory.venue.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > DirectoryPublicAPI,tdf-hq/src/TDF/API/Directory.hs:262
GET,/docs,public-root,help.docs,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > MetaAPI,tdf-hq/src/TDF/Meta.hs:39
POST,/drive/token,authenticated-root,technical.oauth-google-drive,administer,false,documented API-only capability,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DriveAPI,tdf-hq/src/TDF/API/Drive.hs:141
POST,/drive/token/refresh,authenticated-root,technical.oauth-google-drive,administer,false,documented API-only capability,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DriveAPI,tdf-hq/src/TDF/API/Drive.hs:141
POST,/drive/upload,authenticated-root,technical.oauth-google-drive,administer,false,documented API-only capability,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > DriveAPI,tdf-hq/src/TDF/API/Drive.hs:141
GET,/engineers,public-root,bookings.public,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API,tdf-hq/src/TDF/API.hs:608
GET,/facebook/messages,authenticated-root,social.inbox,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FacebookAPI,tdf-hq/src/TDF/API/Facebook.hs:111
POST,/facebook/reply,authenticated-root,social.inbox,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FacebookAPI,tdf-hq/src/TDF/API/Facebook.hs:111
GET,/facebook/webhook,public-root,social.inbox,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FacebookWebhookAPI,tdf-hq/src/TDF/API/Facebook.hs:119
POST,/facebook/webhook,public-root,social.inbox,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FacebookWebhookAPI,tdf-hq/src/TDF/API/Facebook.hs:119
GET,/fans/artists,public-root,community,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:427
GET,/fans/artists/{artistId},public-root,community,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:427
GET,/fans/artists/{artistId}/fans,public-root,community,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:427
GET,/fans/artists/{artistId}/releases,public-root,community,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:427
POST,/fans/artists/{artistId}/tips,public-root,community,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:427
GET,/fans/clubs/{artistId},public-root,community.club,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:427
GET,/fans/clubs/{artistId}/events,public-root,community.club,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FanPublicAPI,tdf-hq/src/TDF/API.hs:427
GET,/fans/discovery,authenticated-root,community,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:450
GET,/fans/me/artist-profile,authenticated-root,community,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:450
GET,/fans/me/clubs,authenticated-root,community,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:450
GET,/fans/me/clubs/{artistId},authenticated-root,community,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:450
GET,/fans/me/follows,authenticated-root,community,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:450
GET,/fans/me/profile,authenticated-root,profile.self,view,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:450
POST,/fans/me/role-request,authenticated-root,community,create,true,user/admin interface mapped,root bearer/session authentication; handler/action/record-scope review still required,API > ProtectedAPI > FanSecureAPI,tdf-hq/src/TDF/API.hs:450
POST,/feedback,public-root,help.feedback,create,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > FeedbackAPI,tdf-hq/src/TDF/API/Feedback.hs:26
GET,/health,public-root,admin.system-status,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > HealthAPI,tdf-hq/src/TDF/API.hs:403
GET,/hooks/whatsapp,public-root,,,false,technical/static/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > WhatsAppHooksAPI,tdf-hq/src/TDF/Routes/Courses.hs:534
POST,/hooks/whatsapp,public-root,,,false,technical/static/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > WhatsAppHooksAPI,tdf-hq/src/TDF/Routes/Courses.hs:534
GET,/input-list/inventory,public-root,studio.session.input-list,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > InputListAPI > InputListPublicAPI,tdf-hq/src/TDF/API.hs:82
POST,/input-list/inventory/seed,public-root,,,false,technical/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > InputListAPI > InputListSeedAPI > SeedAPI,tdf-hq/src/TDF/API.hs:518
GET,/input-list/sessions,public-root,studio.session.input-list,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > InputListAPI > InputListPublicAPI,tdf-hq/src/TDF/API.hs:82
GET,/input-list/sessions/pdf,public-root,studio.session.input-list,view,true,user/admin interface mapped,public route; handler validation/signature/rate-limit review still required,API > InputListAPI > InputListPublicAPI,tdf-hq/src/TDF/API.hs:82
POST,/input-list/sessions/seed,public-root,,,false,technical/API-only; never display,public route; handler validation/signature/rate-limit review still required,API > InputListAPI > InputListSeedAPI > SeedAPI,tdf-hq/src/TDF/API.hs:518
